Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,2:13.88,Jake WIGHTMAN,11 JUL 1994,GBR,1,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1205
2,2:14.35,Marco AROP,20 SEP 1998,CAN,2,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1194
3,2:15.73,Clayton MURPHY,26 FEB 1995,USA,3,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1163
4,2:15.78,Wyclife KINYAMAL,02 JUL 1997,KEN,4,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1161
5,2:15.99,Bryce HOPPEL,05 SEP 1997,USA,5,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1157
6,2:16.38,Joshua THOMPSON,09 MAY 1993,USA,6,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1148
7,2:16.40,Luke MCCANN,12 MAR 1998,IRL,7,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1147
8,2:16.46,Hobbs KESSLER,15 MAR 2003,USA,8,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1146
9,2:17.00,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,9,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1134
10,2:17.06,Tony VAN DIEPEN,17 APR 1996,NED,10,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1132
11,2:17.11,Benjamin ROBERT,04 JAN 1998,FRA,11,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1131
12,2:17.13,Yassine HETHAT,30 AUG 1991,ALG,1,,"Stade Annexe du 5 Juillet, Algiers (ALG)",19 MAR 2022,1131
13,2:18.19,Emmanuel Kipkurui KORIR,15 JUN 1995,KEN,12,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1107
14,2:18.37,Mohamed Amine DRABLI,21 APR 2000,ALG,2,,"Stade Annexe du 5 Juillet, Algiers (ALG)",19 MAR 2022,1103
15,2:18.53,Yassine HETHAT,30 AUG 1991,ALG,1,,Souk El Tenine (ALG),04 MAR 2022,1099
