Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,30:09.94,Letesenbet GIDEY,20 MAR 1998,ETH,1,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1238
2,30:10.02,Hellen OBIRI,13 DEC 1989,KEN,2,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1238
3,30:10.07,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,3,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1238
4,30:10.56,Sifan HASSAN,01 JAN 1993,NED,4,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1238
5,30:12.15,Rahel DANIEL,16 NOV 2001,ERI,5,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1236
6,30:12.45,Ejgayehu TAYE,10 FEB 2000,ETH,6,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1236
7,30:14.66,Elise CRANNY,09 MAY 1996,USA,1,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022,1234
8,30:17.64,Caroline Chepkoech KIPKIRUI,26 MAY 1994,KAZ,7,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1231
9,30:17.77,Bosena MULATIE,21 NOV 2001,ETH,8,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1231
10,30:18.05,Karissa SCHWEIZER,04 MAY 1996,USA,9,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1231
11,30:19.02,Eilish MCCOLGAN,25 NOV 1990,GBR,1,,"Blankers-Koen Stadion, Hengelo (NED)",06 JUN 2022,1230
12,30:20.97,Pauline KAMULU,30 DEC 1994,KEN,1,,"Athletic Track, Abashiri (JPN)",13 JUL 2022,1228
13,30:32.57,Yasemin CAN,11 DEC 1996,TUR,1,,"Olympiastadion, München (GER)",15 AUG 2022,1218
14,30:34.60,Eilish MCCOLGAN,25 NOV 1990,GBR,10,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1216
15,30:35.93,Jess JUDD,07 JAN 1995,GBR,11,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1215
16,30:39.71,Ririka HIRONAKA,24 NOV 2000,JPN,12,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1211
17,30:41.05,Eilish MCCOLGAN,25 NOV 1990,GBR,2,,"Olympiastadion, München (GER)",15 AUG 2022,1210
18,30:44.27,Letesenbet GIDEY,20 MAR 1998,ETH,2,,"Blankers-Koen Stadion, Hengelo (NED)",06 JUN 2022,1207
19,30:44.68,Ejgayehu TAYE,10 FEB 2000,ETH,3,,"Blankers-Koen Stadion, Hengelo (NED)",06 JUN 2022,1207
20,30:45.00,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,4,,"Blankers-Koen Stadion, Hengelo (NED)",06 JUN 2022,1206
21,30:46.37,Lonah Chemtai SALPETER,12 DEC 1988,ISR,3,,"Olympiastadion, München (GER)",15 AUG 2022,1205
