Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9.93,+1.8,Patrick JOHNSON,26 SEP 1972,AUS,1,,Mito (JPN),05 MAY 2003,1231
2,9.94,+1.4,Maurice GREENE,23 JUL 1974,USA,1,,"Carson, CA (USA)",01 JUN 2003,1227
3,9.95,+0.6,Deji ALIU,22 NOV 1975,NGR,1,,Abuja (NGR),12 OCT 2003,1224
4,9.97,+1.3,John CAPEL,27 OCT 1978,USA,1f1,,Zürich (SUI),15 AUG 2003,1217
4,9.97,+1.3,Justin GATLIN,10 FEB 1982,USA,1f1,,Zürich (SUI),15 AUG 2003,1217
4,9.97,+0.6,Uchenna EMEDOLU,17 SEP 1976,NGR,2,,Abuja (NGR),12 OCT 2003,1217
7,9.99,+1.3,Kim COLLINS,05 APR 1976,SKN,3f1,,Zürich (SUI),15 AUG 2003,1210
7,9.99,+1.5,Mickey GRIMES,10 OCT 1976,USA,1f2,,Zürich (SUI),15 AUG 2003,1210
9,10.00,+1.3,Frank FREDERICKS,02 OCT 1967,NAM,1,,Durban (RSA),11 APR 2003,1206
9,10.00,+1.5,Darvis PATTON,04 DEC 1977,USA,2f2,,Zürich (SUI),15 AUG 2003,1206
11,10.01,0.0,Darrel BROWN,11 OCT 1984,TTO,1qf3,,"Stade de France, Paris-St-Denis (FRA)",24 AUG 2003,1203
12,10.02,+0.8,Asafa POWELL,23 NOV 1982,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003,1199
13,10.03,0.0,Nicolas MACROZONARIS,22 AUG 1980,CAN,1,,Ciudad de México (MEX),03 MAY 2003,1196
13,10.03,+1.8,Shingo SUETSUGU,02 JUN 1980,JPN,2,,Mito (JPN),05 MAY 2003,1196
13,10.03,+0.6,Leonard MYLES-MILLS,05 SEP 1973,GHA,3,,Abuja (NGR),12 OCT 2003,1196
16,10.04,+1.9,Bernard WILLIAMS,19 JAN 1978,USA,1,,"Stade Louis II, Monaco (MON)",13 SEP 2003,1193
17,10.05,0.0,Joshua J. JOHNSON,10 MAY 1976,USA,1,,Abuja (NGR),17 MAY 2003,1189
18,10.07,0.0,Shawn CRAWFORD,14 JAN 1978,USA,1,,Pretoria (RSA),04 APR 2003,1182
